# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	category
GO:0043394	MF	e	proteoglycan binding	11/4388	14/19370	1.4501332897378394e-05	3	11	0.0013874232891848794	1280, 1289, 1508, 1513, 1514, 1520, 2220, 2335, 4811, 7057, 9353	MAPTAC_class_II
GO:0017154	MF	e	semaphorin receptor activity	10/4388	12/19370	1.4716518752355978e-05	4	10	0.0013874232891848794	4233, 5361, 5362, 5364, 8828, 8829, 23129, 23654, 55558, 91584	MAPTAC_class_II
GO:0004653	MF	e	polypeptide N-acetylgalactosaminyltransferase activity	13/4388	19/19370	2.709189973211116e-05	6	13	0.002449881790060909	2589, 2590, 2591, 8693, 11227, 51809, 55568, 57452, 63917, 79623, 79695, 114805, 374378	MAPTAC_class_II
GO:0050431	MF	e	transforming growth factor beta binding	15/4388	24/19370	3.2331420427027366e-05	4	15	0.0028090298806305552	90, 2022, 2615, 3685, 4052, 4054, 7046, 7048, 7049, 7057, 8425, 8692, 25987, 114990, 135228	MAPTAC_class_II
GO:0042605	MF	e	peptide antigen binding	15/4388	24/19370	3.2331420427027366e-05	4	15	0.0028090298806305552	1718, 3106, 3107, 3113, 3115, 3117, 3119, 3122, 3123, 3125, 3127, 3133, 3134, 6892, 8140	MAPTAC_class_II
GO:0048156	MF	e	tau protein binding	23/4388	45/19370	3.756075026308242e-05	4	23	0.003200609315686889	60, 274, 348, 1191, 1639, 2033, 2288, 2534, 2931, 2932, 3320, 3326, 4130, 4133, 5300, 5536, 5641, 6093, 9024, 9475, 10013, 10273, 57551	MAPTAC_class_II
GO:0051015	MF	e	actin filament binding	74/4388	211/19370	4.356926367097009e-05	5	74	0.003575100135667935	27, 81, 87, 118, 120, 274, 309, 357, 752, 1072, 1073, 1495, 1627, 1938, 1956, 2017, 2039, 2316, 2317, 2318, 2934, 3927, 3936, 4082, 4301, 4542, 4619, 4627, 4628, 4641, 4642, 4646, 4651, 5358, 5756, 6624, 6708, 6840, 7094, 7170, 7171, 7273, 7430, 8826, 9026, 9948, 10083, 10094, 10095, 10096, 10097, 10109, 10552, 10979, 11151, 22885, 23224, 23345, 23406, 23499, 23603, 55201, 55930, 57175, 57180, 57619, 57662, 65108, 81873, 84168, 84687, 85477, 92241, 134549	MAPTAC_class_II
GO:0031994	MF	e	insulin-like growth factor I binding	10/4388	13/19370	5.0717837651030294e-05	5	10	0.004086013429667549	3480, 3485, 3486, 3487, 3488, 3643, 3655, 3685, 3691, 4036	MAPTAC_class_II
GO:0008376	MF	e	acetylgalactosaminyltransferase activity	9/4388	11/19370	5.450377219285793e-05	5	9	0.0043126109747598845	2583, 22856, 54480, 55454, 79586, 124872, 283358, 337876, 338707	MAPTAC_class_II
GO:0004714	MF	e	transmembrane receptor protein tyrosine kinase activity	45/4388	114/19370	6.567020322974961e-05	7	45	0.005104994219491588	27, 780, 1956, 1969, 2042, 2043, 2044, 2045, 2048, 2050, 2064, 2065, 2066, 2241, 2261, 2263, 2264, 2321, 2324, 2444, 2534, 3480, 3643, 3716, 3717, 3791, 3815, 4058, 4067, 4233, 4920, 5604, 5605, 5610, 5747, 6098, 6416, 6725, 6850, 7297, 8444, 9031, 10461, 91461, 285220	MAPTAC_class_II
GO:0030145	MF	e	manganese ion binding	29/4388	65/19370	8.176280971533336e-05	6	29	0.006246396721528313	27, 383, 2135, 2237, 2589, 2590, 2591, 2683, 2752, 2992, 4199, 4245, 4247, 4249, 4361, 5566, 6648, 8693, 9215, 11285, 51056, 55624, 55811, 56975, 64132, 65258, 120071, 131870, 152002	MAPTAC_class_II
GO:0019955	MF	e	cytokine binding	21/4388	41/19370	8.631569972886554e-05	3	21	0.006374414424976721	972, 1271, 1438, 2690, 3459, 3561, 3570, 3572, 3598, 3604, 3815, 3953, 3977, 8646, 8828, 8829, 9180, 9241, 10148, 11315, 133396	MAPTAC_class_II
GO:0003697	MF	e	single-stranded DNA binding	42/4388	107/19370	0.00010852580211466751	5	42	0.007691636488952276	301, 641, 1660, 3146, 3178, 3192, 3512, 4137, 4171, 4172, 4173, 4174, 4175, 4176, 4436, 4437, 4830, 4904, 5093, 5094, 5422, 5437, 5886, 5887, 5937, 6117, 6419, 6742, 7257, 7508, 8880, 9361, 10051, 10592, 10923, 51729, 55086, 56652, 64710, 79035, 83932, 84515	MAPTAC_class_II
GO:0005198	MF	e	structural molecule activity	57/4388	157/19370	0.00010935976050643048	1	57	0.007691636488952276	182, 348, 444, 667, 989, 1211, 1212, 1213, 1285, 1314, 1315, 1495, 1832, 2037, 2125, 2243, 2244, 2312, 2794, 3162, 3728, 3908, 3909, 3912, 3913, 3914, 4001, 4130, 4131, 4133, 4134, 4926, 5339, 5411, 5717, 6676, 7053, 7414, 8218, 8661, 9019, 9053, 9276, 9475, 10426, 11258, 11316, 22820, 22872, 23499, 23542, 25956, 54212, 83481, 84313, 203068, 388698	MAPTAC_class_II
GO:0005539	MF	e	glycosaminoglycan binding	15/4388	26/19370	0.0001193794000312832	3	15	0.008138001869824859	1462, 2022, 2135, 5270, 5621, 6448, 7048, 7049, 8425, 9806, 23213, 50512, 55959, 79625, 133584	MAPTAC_class_II
GO:0015035	MF	e	protein-disulfide reductase activity	13/4388	21/19370	0.00012748096633245572	5	13	0.008532510409561158	2923, 5034, 7295, 9601, 9997, 10130, 10495, 10954, 23166, 30001, 51060, 54431, 54495	MAPTAC_class_II
GO:0003779	MF	e	actin binding	86/4388	261/19370	0.0001339507049897869	4	86	0.008532510409561158	81, 118, 226, 283, 357, 667, 800, 1266, 1605, 1627, 2010, 2035, 2037, 2039, 2317, 2934, 3192, 3688, 3936, 4046, 4130, 4131, 4137, 4542, 4627, 4628, 4646, 4771, 5034, 5074, 5216, 5217, 5304, 5339, 5747, 5756, 5962, 6275, 6525, 6624, 6709, 7224, 7408, 7414, 7430, 7852, 8976, 9124, 9260, 10013, 10296, 10487, 10552, 10611, 10755, 10810, 10979, 11151, 23022, 23224, 23345, 23406, 23499, 23500, 27295, 53827, 54212, 54617, 55201, 55704, 55740, 55971, 57553, 57591, 64098, 79083, 84665, 85462, 85464, 85477, 120892, 130271, 140469, 147179, 257144, 342184	MAPTAC_class_II
GO:1904929	MF	e	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway	6/4388	6/19370	0.0001347947932000183	5	6	0.008532510409561158	2239, 4919, 4920, 5754, 6259, 10082	MAPTAC_class_II
GO:0036402	MF	e	proteasome-activating activity	6/4388	6/19370	0.0001347947932000183	2	6	0.008532510409561158	5700, 5701, 5702, 5704, 5705, 5706	MAPTAC_class_II
GO:0008379	MF	e	thioredoxin peroxidase activity	6/4388	6/19370	0.0001347947932000183	5	6	0.008532510409561158	5052, 7001, 9588, 10549, 10935, 25824	MAPTAC_class_II
GO:0030246	MF	e	carbohydrate binding	61/4388	174/19370	0.00017519135468995427	2	61	0.01093342102297447	176, 325, 432, 811, 821, 933, 1272, 1462, 2208, 2548, 2589, 2590, 2591, 2990, 3958, 4065, 4122, 4124, 4125, 4247, 4885, 5310, 5818, 6320, 6402, 6441, 6675, 6900, 7123, 8455, 8693, 9563, 9761, 9902, 9976, 9993, 10956, 10960, 11227, 22859, 23193, 23266, 23284, 23324, 50489, 51809, 55057, 55568, 56851, 56891, 57452, 63917, 79623, 79695, 89858, 114805, 131544, 143903, 342372, 346689, 374378	MAPTAC_class_II
GO:0051117	MF	e	ATPase binding	36/4388	89/19370	0.00018045173325425238	4	36	0.011105300417355449	367, 475, 481, 483, 535, 857, 1956, 2091, 3270, 3337, 5867, 5898, 5962, 7224, 7376, 7430, 7466, 8607, 9024, 9550, 10277, 10312, 10856, 11345, 23385, 23753, 26092, 29761, 51602, 54431, 54664, 54680, 55811, 84447, 93974, 163590	MAPTAC_class_II
GO:0003725	MF	e	double-stranded RNA binding	31/4388	73/19370	0.00019504374666526103	5	31	0.011416125616060162	87, 103, 1213, 1653, 1660, 1665, 1973, 1994, 3146, 3192, 3326, 3608, 3609, 4154, 4939, 5610, 6520, 6780, 6895, 7037, 7431, 9188, 23180, 26065, 29102, 51092, 51663, 55342, 64135, 79693, 81030	MAPTAC_class_II
GO:1990948	MF	e	ubiquitin ligase inhibitor activity	7/4388	8/19370	0.0001957170793943956	5	7	0.011416125616060162	6125, 6135, 6167, 6201, 6209, 6224, 9349	MAPTAC_class_II
GO:0043008	MF	e	ATP-dependent protein binding	7/4388	8/19370	0.0001957170793943956	3	7	0.011416125616060162	3326, 5621, 7919, 8398, 10055, 10769, 80331	MAPTAC_class_II
GO:0035374	MF	e	chondroitin sulfate binding	8/4388	10/19370	0.00019838448937861266	4	8	0.011416125616060162	309, 1809, 3617, 4192, 5802, 65078, 146760, 375790	MAPTAC_class_II
GO:0032395	MF	e	MHC class II receptor activity	8/4388	10/19370	0.00019838448937861266	4	8	0.011416125616060162	3111, 3113, 3117, 3118, 3119, 3122, 3123, 3125	MAPTAC_class_II
GO:0019901	MF	e	protein kinase binding	140/4388	467/19370	0.00021257121370519142	5	140	0.01207568010163722	60, 102, 112, 142, 160, 388, 391, 396, 476, 481, 857, 890, 940, 987, 988, 993, 998, 1000, 1130, 1213, 1464, 1499, 1500, 1639, 1785, 1845, 1915, 1917, 1938, 1956, 1994, 2181, 2309, 2475, 2627, 2690, 2932, 3091, 3315, 3326, 3601, 3611, 3689, 3717, 3728, 3741, 3832, 4137, 4205, 4214, 4218, 4436, 4659, 4869, 4905, 5037, 5062, 5066, 5223, 5310, 5335, 5347, 5422, 5500, 5564, 5566, 5590, 5611, 5747, 5788, 5795, 5796, 5859, 6009, 6188, 6194, 6197, 6201, 6223, 6331, 6558, 6720, 6812, 6850, 7037, 7189, 7273, 7416, 7534, 8398, 8618, 8633, 8826, 8829, 8878, 9024, 9113, 9618, 9776, 9821, 9900, 9961, 10040, 10131, 10935, 10949, 10979, 10982, 10985, 11124, 11140, 11188, 22919, 22974, 23303, 23542, 25793, 27040, 51094, 51755, 54875, 55014, 55250, 55755, 55920, 55924, 57506, 65065, 65125, 84106, 91754, 113828, 116986, 133396, 146691, 161742, 253260, 257144, 286077, 375748	MAPTAC_class_II
GO:0044877	MF	e	protein-containing complex binding	112/4388	361/19370	0.0002201012251246711	2	112	0.0123451712471825	160, 163, 348, 409, 472, 521, 522, 824, 857, 1019, 1191, 1211, 1515, 1642, 1785, 2048, 2074, 2200, 2547, 2730, 2782, 2783, 2977, 3046, 3082, 3192, 3416, 3624, 3643, 3655, 3673, 3683, 3688, 3725, 3728, 3914, 4035, 4072, 4131, 4149, 4609, 4697, 4702, 4905, 4926, 4976, 5111, 5189, 5214, 5250, 5536, 5590, 5621, 5792, 5818, 5903, 6188, 6386, 6720, 6844, 6928, 7037, 7251, 7253, 7257, 7275, 7385, 7416, 7508, 7520, 7529, 7919, 8408, 8655, 8717, 8737, 8878, 9114, 9525, 9531, 9798, 9825, 10059, 10392, 10657, 10769, 10972, 10998, 11315, 22871, 22994, 23163, 23450, 23542, 23636, 27183, 28964, 51009, 51160, 55719, 55966, 57504, 58525, 60673, 65078, 79643, 79924, 81858, 84271, 91445, 91942, 203068	MAPTAC_class_II
GO:0031267	MF	e	small GTPase binding	84/4388	258/19370	0.0002300074964164103	5	84	0.012739540207763928	302, 396, 397, 537, 752, 857, 1104, 1121, 1122, 1434, 1613, 1857, 2316, 2665, 3837, 3843, 4218, 4301, 4641, 4804, 4952, 5062, 5216, 5585, 5875, 5902, 5903, 5905, 6093, 6647, 6653, 7249, 7514, 8216, 8408, 8531, 8826, 9321, 9371, 9475, 9853, 9950, 10048, 10059, 10133, 10152, 10204, 10397, 10497, 10527, 10787, 10928, 10938, 11214, 11260, 22930, 22999, 23062, 23077, 23085, 23163, 23312, 23500, 23580, 23603, 23637, 25782, 26088, 26985, 27237, 30000, 51479, 55654, 55920, 57531, 57553, 78992, 79083, 79711, 79803, 80223, 115704, 120892, 149371	MAPTAC_class_II
GO:0034185	MF	e	apolipoprotein binding	11/4388	17/19370	0.0002470857172323995	3	11	0.013351668451911736	821, 949, 4023, 4035, 4038, 4040, 4137, 5340, 7436, 7804, 255738	MAPTAC_class_II
GO:0005001	MF	e	transmembrane receptor protein tyrosine phosphatase activity	11/4388	17/19370	0.0002470857172323995	8	11	0.013351668451911736	5786, 5787, 5788, 5789, 5791, 5792, 5793, 5796, 5797, 5799, 10076	MAPTAC_class_II
GO:0005041	MF	e	low-density lipoprotein particle receptor activity	10/4388	15/19370	0.00033743370469236896	3	10	0.018014081270986592	3949, 4035, 4036, 4040, 6653, 7436, 7804, 23166, 26020, 53353	MAPTAC_class_II
GO:0061608	MF	e	nuclear import signal receptor activity	12/4388	20/19370	0.00035394592983105464	4	12	0.018450993118604743	3836, 3837, 3838, 3839, 3840, 3843, 10073, 10204, 23633, 30000, 51501, 79711	MAPTAC_class_II
GO:0003756	MF	e	protein disulfide isomerase activity	12/4388	20/19370	0.00035394592983105464	5	12	0.018450993118604743	2923, 5034, 5768, 9601, 10130, 10954, 23071, 30001, 54495, 78987, 81567, 169714	MAPTAC_class_II
GO:0004177	MF	e	aminopeptidase activity	15/4388	28/19370	0.000362024200105804	5	15	0.0185173469969837	290, 642, 1512, 1515, 4012, 4048, 9520, 23549, 29952, 29953, 51056, 51752, 64167, 91039, 254042	MAPTAC_class_II
GO:0008013	MF	e	beta-catenin binding	34/4388	85/19370	0.00036357688755079713	3	34	0.0185173469969837	357, 367, 999, 1000, 1495, 1499, 1525, 1857, 2033, 2309, 2697, 2737, 2932, 4303, 5300, 5795, 5796, 6500, 7414, 8650, 9231, 9968, 10013, 10076, 10297, 10856, 23135, 23189, 55966, 56998, 57658, 57680, 84328, 283149	MAPTAC_class_II
GO:0008017	MF	e	microtubule binding	82/4388	254/19370	0.0003723081523799565	5	82	0.01874656162722258	403, 667, 827, 1069, 1266, 1639, 1785, 1808, 2332, 2339, 2597, 3797, 3799, 3832, 4130, 4131, 4133, 4134, 4135, 4137, 4926, 4968, 4976, 5347, 5536, 5621, 6188, 6249, 6279, 6280, 7013, 7430, 7461, 7840, 8766, 9218, 9371, 9448, 9793, 10013, 10059, 10297, 10397, 10841, 10982, 11104, 11261, 11345, 22974, 23095, 23122, 23139, 23303, 25777, 26153, 50810, 51119, 51512, 54627, 54801, 55083, 55177, 55201, 55342, 55605, 55704, 55755, 55920, 56890, 57519, 63971, 64147, 79187, 85378, 85462, 120892, 147700, 151393, 283234, 342184, 374654, 400954	MAPTAC_class_II
GO:0005484	MF	e	SNAP receptor activity	18/4388	36/19370	0.0003916877269324868	3	18	0.019500767618402796	6809, 6811, 6844, 6845, 8417, 8675, 8676, 8677, 8773, 9342, 9482, 9527, 10228, 10282, 10490, 23673, 55014, 55850	MAPTAC_class_II
GO:0031593	MF	e	polyubiquitin modification-dependent protein binding	16/4388	31/19370	0.00040379514166930013	4	16	0.01988018080818521	5710, 5886, 5887, 7415, 7917, 9577, 10013, 10133, 29978, 50613, 54469, 56893, 81858, 83932, 116988, 143630	MAPTAC_class_II
GO:0098641	MF	e	cadherin binding involved in cell-cell adhesion	11/4388	18/19370	0.000505215353424381	6	11	0.02433270903286339	301, 302, 1266, 4072, 5499, 9124, 10298, 10458, 10611, 10890, 55971	MAPTAC_class_II
GO:0003746	MF	e	translation elongation factor activity	11/4388	18/19370	0.000505215353424381	6	11	0.02433270903286339	1915, 1917, 1933, 1936, 1937, 1938, 1984, 7284, 9567, 10767, 79631	MAPTAC_class_II
GO:0046332	MF	e	SMAD binding	22/4388	49/19370	0.0005139262171554086	3	22	0.02448609750769479	90, 91, 650, 1278, 1499, 1655, 2280, 2316, 4205, 7046, 7048, 7049, 7528, 9958, 10273, 10527, 10979, 22938, 29102, 60485, 90993, 163126	MAPTAC_class_II
GO:0070006	MF	e	metalloaminopeptidase activity	14/4388	26/19370	0.0005309404575783294	6	14	0.024951668684526262	290, 4012, 4048, 4323, 4324, 4325, 4326, 9520, 29953, 51056, 51752, 64167, 206338, 254042	MAPTAC_class_II
GO:0005507	MF	e	copper ion binding	24/4388	55/19370	0.0005405913323661749	6	24	0.024951668684526262	49, 213, 283, 475, 540, 1356, 1638, 2157, 2817, 4015, 4016, 4017, 5025, 5066, 5621, 6284, 6647, 9843, 9997, 11315, 26002, 51596, 57817, 341208	MAPTAC_class_II
GO:0008237	MF	e	metallopeptidase activity	24/4388	55/19370	0.0005405913323661749	4	24	0.024951668684526262	101, 102, 290, 649, 1636, 4012, 4185, 4313, 4314, 6868, 8038, 8665, 8745, 8751, 8754, 9509, 9510, 10213, 10987, 11095, 11173, 23549, 56999, 64167	MAPTAC_class_II
GO:0004896	MF	e	cytokine receptor activity	21/4388	46/19370	0.0005749762014272012	4	21	0.02587144736094492	960, 972, 1271, 1438, 2152, 2690, 3454, 3459, 3460, 3561, 3570, 3572, 3598, 3601, 3953, 3977, 9180, 10148, 50615, 58985, 133396	MAPTAC_class_II
GO:0050840	MF	e	extracellular matrix binding	15/4388	29/19370	0.0005935538180932144	2	15	0.02587144736094492	1301, 2006, 3491, 3685, 6678, 6696, 7045, 9289, 9806, 25903, 57211, 64093, 169611, 170689, 284297	MAPTAC_class_II
GO:0043021	MF	e	ribonucleoprotein complex binding	17/4388	34/19370	0.0005943740166932897	3	17	0.02587144736094492	1655, 2146, 3192, 5499, 6176, 9793, 10084, 10419, 10421, 10465, 23246, 23481, 54496, 55759, 64135, 83737, 92609	MAPTAC_class_II
GO:0004185	MF	e	serine-type carboxypeptidase activity	5/4388	5/19370	0.0005955512594936541	6	5	0.02587144736094492	1362, 5476, 5547, 54504, 59342	MAPTAC_class_II
GO:0086083	MF	e	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication	5/4388	5/19370	0.0005955512594936541	7	5	0.02587144736094492	1824, 1829, 1832, 3728, 5318	MAPTAC_class_II
GO:0003945	MF	e	N-acetyllactosamine synthase activity	5/4388	5/19370	0.0005955512594936541	7	5	0.02587144736094492	2683, 8702, 8703, 8704, 9334	MAPTAC_class_II
GO:1990381	MF	e	ubiquitin-specific protease binding	12/4388	21/19370	0.0006558992144927782	5	12	0.028216402130266986	267, 1213, 5886, 7415, 7917, 9733, 9825, 10299, 11315, 51009, 57414, 84447	MAPTAC_class_II
GO:0051879	MF	e	Hsp90 protein binding	20/4388	43/19370	0.0006861091214754501	4	20	0.029232206896708836	396, 1457, 1571, 2081, 3091, 3791, 3837, 4137, 5536, 6188, 6558, 7249, 9451, 10013, 10273, 10598, 10963, 11140, 23636, 55898	MAPTAC_class_II
GO:0030023	MF	e	extracellular matrix constituent conferring elasticity	7/4388	9/19370	0.000707041085528061	3	7	0.029279430373596618	2006, 2200, 2201, 3915, 11117, 84034, 90187	MAPTAC_class_II
GO:0005024	MF	e	transforming growth factor beta-activated receptor activity	7/4388	9/19370	0.000707041085528061	8	7	0.029279430373596618	659, 2022, 4052, 7046, 7048, 7049, 8425	MAPTAC_class_II
GO:0008378	MF	e	galactosyltransferase activity	7/4388	9/19370	0.000707041085528061	5	7	0.029279430373596618	2683, 8702, 8703, 8704, 9331, 9334, 11285	MAPTAC_class_II
GO:0004559	MF	e	alpha-mannosidase activity	6/4388	7/19370	0.0007605422394947968	6	6	0.031203357992605974	4122, 4124, 4125, 23324, 79694, 149175	MAPTAC_class_II
GO:0051020	MF	e	GTPase binding	17/4388	35/19370	0.0007914218516813218	4	17	0.032172387383485664	664, 1211, 2023, 2058, 2316, 2782, 2783, 3320, 3376, 3936, 4904, 6455, 8408, 9255, 54922, 55004, 55054	MAPTAC_class_II
GO:0003730	MF	e	mRNA 3'-UTR binding	30/4388	76/19370	0.0008901468929965664	6	30	0.03585673529879805	1153, 1655, 1994, 2332, 2521, 3181, 3183, 3192, 5937, 6125, 6201, 8531, 8761, 10236, 10642, 10643, 10644, 10658, 10659, 22948, 23185, 23367, 23435, 23589, 25929, 26135, 26156, 26986, 27303, 64852	MAPTAC_class_II
GO:0017124	MF	e	SH3 domain binding	46/4388	129/19370	0.0009566463707749157	4	46	0.0381882889090419	102, 395, 1785, 1793, 1809, 2530, 2697, 2876, 2901, 3611, 4036, 4067, 4137, 5782, 6451, 6455, 6868, 7408, 8030, 8038, 8506, 8728, 8751, 8754, 9026, 9101, 9444, 9829, 9844, 10006, 10040, 10152, 10656, 10657, 26256, 26578, 30011, 55114, 55740, 57088, 83699, 83992, 84665, 134265, 225689, 342184	MAPTAC_class_II
GO:0004175	MF	e	endopeptidase activity	27/4388	67/19370	0.0011338220147430029	4	27	0.04485683345827006	102, 834, 1200, 1512, 1636, 1889, 3416, 4313, 4314, 4323, 5045, 5046, 5125, 5340, 5550, 5693, 5696, 6868, 8904, 9508, 9528, 23621, 51752, 57211, 64167, 94031, 170689	MAPTAC_class_II
GO:0004222	MF	e	metalloendopeptidase activity	40/4388	110/19370	0.0012264017172381894	5	40	0.048090141673295735	101, 102, 649, 1889, 3416, 4185, 4225, 4313, 4314, 4323, 4324, 4325, 4326, 6868, 7064, 7093, 7385, 8038, 8728, 8745, 8751, 8754, 9313, 9508, 9509, 9510, 9635, 10987, 11095, 11173, 53616, 56999, 80070, 83932, 89782, 89932, 140766, 170689, 170690, 170691	MAPTAC_class_II
GO:0005549	MF	p	odorant binding	3/4388	110/19370	1.640962348233087e-06	2	3	0.00042425530585146266	26476, 283159, 283160	MAPTAC_class_II
GO:0004984	MF	p	olfactory receptor activity	13/4388	392/19370	3.156064852430829e-06	4	13	0.0004994472628971787	26476, 26531, 26659, 26689, 81300, 81392, 81466, 81470, 119687, 283159, 283160, 341418, 441670	MAPTAC_class_II
GO:1990837	MF	p	sequence-specific double-stranded DNA binding	75/4388	555/19370	4.3197322362636584e-06	6	75	0.0005468781011109791	405, 1045, 1388, 2019, 2118, 2119, 2309, 2313, 2624, 2625, 2627, 2737, 3192, 3196, 3206, 3211, 3212, 3280, 3298, 3394, 3661, 3725, 4001, 4149, 4303, 4487, 4613, 4772, 4776, 4778, 4904, 5077, 5087, 5452, 5993, 6474, 6667, 6720, 6721, 6722, 6862, 7008, 7020, 7392, 7528, 7547, 8061, 9095, 9096, 10009, 10265, 10488, 22926, 25803, 26205, 26468, 27022, 28999, 30009, 30062, 30812, 51043, 55810, 64919, 84878, 90993, 126208, 128209, 148327, 162979, 221937, 255877, 340260, 344191, 644168	MAPTAC_class_II
GO:0004930	MF	p	G protein-coupled receptor activity	52/4388	673/19370	5.090497337937043e-06	4	52	0.0006096214514702442	576, 643, 976, 1236, 1951, 1952, 2535, 2844, 2861, 2864, 3269, 4161, 6608, 7852, 8323, 8325, 8477, 8843, 9052, 9213, 9289, 9620, 10149, 22859, 23266, 23284, 23596, 26476, 26531, 26659, 26689, 50835, 54328, 55890, 56670, 57211, 80835, 81300, 81392, 81466, 81470, 81491, 119687, 131601, 139378, 165082, 166647, 283159, 283160, 341418, 440435, 441670	MAPTAC_class_II
GO:0000978	MF	p	RNA polymerase II cis-regulatory region sequence-specific DNA binding	156/4388	1173/19370	5.6083680951436826e-06	9	156	0.00065396523762057	351, 367, 405, 1045, 1388, 1660, 1879, 2019, 2034, 2113, 2118, 2120, 2122, 2146, 2186, 2295, 2296, 2309, 2313, 2624, 2625, 2627, 2737, 3065, 3091, 3097, 3192, 3196, 3206, 3211, 3212, 3213, 3280, 3298, 3394, 3428, 3659, 3661, 3725, 4150, 4205, 4303, 4609, 4613, 4661, 4772, 4776, 4778, 4779, 4800, 5077, 5087, 5187, 5452, 5455, 5887, 5966, 5993, 6656, 6667, 6720, 6721, 6722, 6772, 6777, 6862, 6886, 6908, 6928, 7008, 7020, 7026, 7376, 7392, 7403, 7490, 7528, 7547, 7553, 7675, 7707, 7755, 7762, 7770, 8061, 9095, 9096, 9112, 9422, 9516, 9726, 9925, 9967, 9968, 10009, 10013, 10014, 10265, 10488, 10856, 10923, 22877, 22890, 22926, 23135, 23435, 23558, 26205, 26959, 27022, 27153, 27164, 27316, 28999, 30009, 30062, 30812, 51043, 54862, 55636, 55749, 55810, 56242, 57593, 57658, 58525, 59348, 63976, 64763, 64919, 79776, 79797, 84146, 84166, 84547, 84878, 91120, 112950, 116115, 128209, 140467, 147657, 148327, 162979, 166793, 200014, 221937, 253461, 255877, 283571, 284370, 344191, 347853, 360023, 389058, 403341	MAPTAC_class_II
GO:0000981	MF	p	DNA-binding transcription factor activity, RNA polymerase II-specific	145/4388	1236/19370	6.726371615469948e-06	3	145	0.0007111878331671501	367, 405, 745, 988, 1045, 1388, 1879, 2019, 2034, 2077, 2113, 2118, 2119, 2120, 2295, 2296, 2309, 2313, 2624, 2625, 2627, 2737, 2969, 3091, 3097, 3196, 3206, 3211, 3212, 3213, 3280, 3298, 3394, 3659, 3661, 3725, 4149, 4150, 4205, 4303, 4487, 4609, 4613, 4661, 4772, 4776, 4778, 4779, 4800, 5077, 5087, 5093, 5178, 5452, 5455, 5966, 5993, 6474, 6493, 6656, 6667, 6720, 6721, 6722, 6772, 6777, 6862, 6886, 6928, 7008, 7020, 7376, 7392, 7490, 7528, 7547, 7553, 7633, 7675, 7755, 7762, 7799, 8061, 8456, 9095, 9096, 9422, 9726, 9925, 10009, 10265, 10488, 10522, 11262, 22877, 22926, 23211, 25803, 26205, 26468, 26959, 27022, 27153, 27164, 28999, 30009, 30062, 30812, 49854, 51043, 54862, 55810, 56242, 57593, 57594, 58525, 64764, 79776, 79797, 80034, 84146, 84547, 90993, 91120, 92595, 116115, 126208, 128209, 146198, 147657, 148103, 148327, 200014, 221937, 253461, 283571, 284459, 340260, 340784, 344191, 347853, 360023, 389058, 403341, 644168	MAPTAC_class_II
GO:0000977	MF	p	RNA polymerase II transcription regulatory region sequence-specific DNA binding	44/4388	329/19370	2.5711667422410282e-05	8	44	0.002373508298931249	81, 988, 1045, 2023, 2034, 2119, 2120, 2295, 2296, 2737, 3091, 3211, 3298, 4149, 4205, 4487, 4830, 5087, 5178, 5993, 6188, 6493, 6667, 6720, 7020, 7633, 7799, 8531, 9925, 10488, 10522, 10919, 22877, 22926, 26468, 27022, 28999, 92595, 146198, 148103, 219736, 284459, 340784, 644168	MAPTAC_class_II
GO:0030594	MF	p	neurotransmitter receptor activity	4/4388	80/19370	3.834034631517657e-05	3	4	0.003205397632500894	1137, 1138, 3269, 3350	MAPTAC_class_II
GO:0046983	MF	p	protein dimerization activity	13/4388	138/19370	8.60468371369615e-05	3	13	0.006374414424976721	348, 3326, 4609, 4613, 5612, 6720, 6721, 6777, 6886, 9131, 22877, 196527, 553115	MAPTAC_class_II
GO:0003700	MF	p	DNA-binding transcription factor activity	67/4388	442/19370	8.81583157723013e-05	2	67	0.006403762248968313	367, 405, 745, 1045, 1388, 2113, 2119, 2120, 2122, 2295, 2296, 2309, 2313, 2624, 2625, 2627, 2737, 2969, 3091, 3298, 3725, 4149, 4150, 4205, 4303, 4609, 4613, 4661, 4772, 4778, 4779, 4800, 5077, 5087, 5452, 5455, 5966, 6493, 6656, 6667, 6720, 6722, 6772, 6777, 6862, 6886, 6928, 7026, 7392, 7490, 7547, 7707, 7762, 7799, 8061, 22926, 26468, 27022, 30009, 59348, 64919, 80034, 128209, 140467, 162979, 221937, 253461	MAPTAC_class_II
